Country,League,Season,Date,Time,TeamHome,TeamAway,FTHG,FTAG,Res
Mexico,Liga MX,2022/2023,2/20/2023,3:05,Pachuca,Toluca,1,2,A
Mexico,Liga MX,2022/2023,2/19/2023,1:05,Atlas,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2022/2023,2/19/2023,3:05,U.N.A.M.- Pumas,Guadalajara Chivas,1,2,A
Mexico,Liga MX,2022/2023,2/19/2023,23:00,Queretaro,Mazatlan FC,1,1,D
Mexico,Liga MX,2022/2023,2/18/2023,1:06,Juarez,Club Leon,0,0,D
Mexico,Liga MX,2022/2023,2/18/2023,3:05,Puebla,Cruz Azul,1,3,A
Mexico,Liga MX,2022/2023,2/18/2023,23:00,Atl. San Luis,Santos Laguna,1,1,D
Mexico,Liga MX,2022/2023,2/18/2023,23:06,Monterrey,Necaxa,2,1,H
Mexico,Liga MX,2022/2023,2/17/2023,3:00,Mazatlan FC,Pachuca,2,3,A
Mexico,Liga MX,2022/2023,2/16/2023,1:05,Guadalajara Chivas,Club Tijuana,2,1,H
Mexico,Liga MX,2022/2023,2/16/2023,1:05,Monterrey,Queretaro,2,0,H
Mexico,Liga MX,2022/2023,2/16/2023,3:05,Necaxa,U.N.A.M.- Pumas,3,1,H
Mexico,Liga MX,2022/2023,2/15/2023,1:05,Club Leon,Puebla,2,0,H
Mexico,Liga MX,2022/2023,2/15/2023,1:05,U.A.N.L.- Tigres,Juarez,0,0,D
Mexico,Liga MX,2022/2023,2/15/2023,3:05,Atl. San Luis,Club America,1,3,A
Mexico,Liga MX,2022/2023,2/12/2023,1:05,Juarez,Santos Laguna,3,1,H
Mexico,Liga MX,2022/2023,2/12/2023,1:05,U.A.N.L.- Tigres,U.N.A.M.- Pumas,4,2,H
Mexico,Liga MX,2022/2023,2/12/2023,3:05,Pachuca,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2022/2023,2/12/2023,18:00,Toluca,Cruz Azul,3,1,H
Mexico,Liga MX,2022/2023,2/11/2023,1:00,Puebla,Mazatlan FC,3,1,H
Mexico,Liga MX,2022/2023,2/11/2023,3:10,Club Tijuana,Atl. San Luis,1,0,H
Mexico,Liga MX,2022/2023,2/11/2023,23:00,Club America,Necaxa,2,1,H
Mexico,Liga MX,2022/2023,2/10/2023,1:05,Queretaro,Club Leon,0,3,A
Mexico,Liga MX,2022/2023,2/10/2023,3:05,Atlas,Monterrey,0,2,A
Mexico,Liga MX,2022/2023,2/6/2023,1:10,Monterrey,Toluca,2,1,H
Mexico,Liga MX,2022/2023,2/5/2023,1:05,Cruz Azul,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2022/2023,2/5/2023,3:05,Santos Laguna,Club America,2,2,D
Mexico,Liga MX,2022/2023,2/5/2023,18:00,U.N.A.M.- Pumas,Atlas,2,2,D
Mexico,Liga MX,2022/2023,2/5/2023,23:05,Guadalajara Chivas,Queretaro,1,1,D
