Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2021/2022,9/17/2021,19:30,Lech Poznan,Wisla,5,0,H,"1,57","4,14","6,51","1,6","4,36",7,"1,52","4,1","6,07"
Poland,Ekstraklasa,2021/2022,9/18/2021,11:30,Wisla Plock,Jagiellonia,3,0,H,"2,3","3,38","3,37","2,5","3,44","3,42","2,25","3,25","3,18"
Poland,Ekstraklasa,2021/2022,9/18/2021,14:00,Pogon Szczecin,Cracovia,1,1,D,"1,84","3,37","5,25","1,94","3,5","5,25","1,83","3,26","4,66"
Poland,Ekstraklasa,2021/2022,9/18/2021,16:30,Radomiak Radom,Slask Wroclaw,1,1,D,"2,24","3,37","3,52","2,45","3,42","3,52","2,24","3,23","3,22"
Poland,Ekstraklasa,2021/2022,9/18/2021,19:00,Lechia Gdansk,Piast Gliwice,1,0,H,"2,23","3,48","3,43","2,59","3,49","3,43","2,22","3,29","3,21"
Poland,Ekstraklasa,2021/2022,9/19/2021,11:30,Stal Mielec,Rakow,0,3,A,"4,85","3,51","1,85","4,9","3,65","2,04","4,39","3,4","1,83"
Poland,Ekstraklasa,2021/2022,9/19/2021,14:00,Gornik Z.,Warta Poznan,1,0,H,"2,07","3,26","4,2","2,1","3,38","4,21","2,02","3,19","3,89"
Poland,Ekstraklasa,2021/2022,9/19/2021,16:30,Legia,Leczna,3,1,H,"1,31","5,52","11,35","1,36","5,76",12,"1,3","5,13","10,01"
Poland,Ekstraklasa,2021/2022,9/24/2021,17:00,Leczna,Lechia Gdansk,0,4,A,"3,92","3,52","2,04","3,95","3,53","2,2","3,62","3,36","2,02"
Poland,Ekstraklasa,2021/2022,9/24/2021,19:30,Jagiellonia,Lech Poznan,1,0,H,"4,57","3,63","1,87","4,75","3,88","1,87","4,28","3,58","1,81"
Poland,Ekstraklasa,2021/2022,9/25/2021,14:00,Stal Mielec,Radomiak Radom,1,0,H,"3,32","3,42","2,3","3,4","3,46","2,35","3,17","3,26","2,24"
Poland,Ekstraklasa,2021/2022,9/25/2021,16:30,Warta Poznan,Zaglebie,0,2,A,"2,77","3,25","2,78","2,8","3,38","2,8","2,68","3,14","2,66"
Poland,Ekstraklasa,2021/2022,9/25/2021,19:00,Legia,Rakow,2,3,A,"2,09","3,53","3,74","2,25","3,59","3,75","2,09","3,33","3,45"
Poland,Ekstraklasa,2021/2022,9/26/2021,11:30,Termalica B-B.,Gornik Z.,3,1,H,"3,18","3,28","2,45","3,3","3,39","2,47","3,02","3,18","2,37"
Poland,Ekstraklasa,2021/2022,9/26/2021,14:00,Slask Wroclaw,Wisla Plock,3,1,H,"1,9","3,84","4,11","2,2","3,84","4,24","1,91","3,54","3,83"
Poland,Ekstraklasa,2021/2022,9/26/2021,16:30,Wisla,Pogon Szczecin,0,1,A,"2,98","3,41","2,51","3,1","3,58","2,53","2,86","3,32","2,4"
Poland,Ekstraklasa,2021/2022,9/27/2021,17:00,Piast Gliwice,Cracovia,2,4,A,"2,35","3,12","3,54","2,4","3,2","3,58","2,32","3,03","3,28"
Poland,Ekstraklasa,2021/2022,9/29/2021,16:00,Rakow,Radomiak Radom,2,2,D,"1,81","3,59","5,08","1,81","3,64","5,11","1,77","3,49","4,6"
Poland,Ekstraklasa,2021/2022,10/1/2021,17:00,Zaglebie,Jagiellonia,0,1,A,"2,26","3,49","3,35","2,34","3,65","3,41","2,22","3,37","3,13"
Poland,Ekstraklasa,2021/2022,10/1/2021,19:30,Piast Gliwice,Wisla,1,0,H,"2,57","3,4","2,9","2,61","3,5","2,95","2,52","3,29","2,73"
Poland,Ekstraklasa,2021/2022,10/2/2021,11:30,Radomiak Radom,Termalica B-B.,1,1,D,"2,15","3,5","3,6","2,5","3,51","3,93","2,12","3,27","3,46"
Poland,Ekstraklasa,2021/2022,10/2/2021,14:00,Cracovia,Stal Mielec,3,3,D,"1,79","3,71","4,94","1,9","3,71","4,97","1,79","3,49","4,47"
Poland,Ekstraklasa,2021/2022,10/2/2021,16:30,Lech Poznan,Slask Wroclaw,4,0,H,"1,51","4,63","6,62","1,58","4,63","6,8","1,48","4,36","6,1"
Poland,Ekstraklasa,2021/2022,10/2/2021,19:00,Gornik Z.,Wisla Plock,4,2,H,"1,86","3,79","4,36","2,12","3,79","4,54","1,88","3,53","3,99"
Poland,Ekstraklasa,2021/2022,10/3/2021,11:30,Rakow,Warta Poznan,3,0,H,"1,58","3,94","6,88","1,65",4,"7,5","1,57","3,78","6,12"
Poland,Ekstraklasa,2021/2022,10/3/2021,14:00,Pogon Szczecin,Leczna,4,1,H,"1,33","5,44","10,16","1,37","5,5",11,"1,31","5,02","9,58"
