Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
B1,24/02/2023,19:45,Waregem,Kortrijk,3,3,D,1,2,A,15,9,4,5,19,18,8,5,3,4,0,0
B1,19/02/2023,12:30,Cercle Brugge,Club Brugge,2,2,D,0,1,A,28,7,10,5,10,12,17,4,2,2,0,0
B1,19/02/2023,15:00,Gent,Oud-Heverlee Leuven,2,0,H,0,0,D,12,14,6,4,15,12,5,9,2,1,0,0
B1,19/02/2023,17:30,Kortrijk,Anderlecht,2,2,D,0,1,A,13,12,7,5,14,8,6,4,2,0,0,0
B1,19/02/2023,18:15,St Truiden,Westerlo,0,1,A,0,1,A,6,13,1,3,8,6,1,6,1,0,1,0
B1,18/02/2023,15:00,Antwerp,Eupen,2,0,H,2,0,H,17,4,2,0,11,11,7,4,3,3,0,1
B1,18/02/2023,17:15,Oostende,Charleroi,0,0,D,0,0,D,17,8,6,3,7,10,11,3,0,0,0,0
B1,18/02/2023,17:15,Seraing,Waregem,1,1,D,0,1,A,6,12,2,3,18,16,4,7,3,3,1,1
B1,18/02/2023,19:45,St. Gilloise,Standard,2,4,A,1,2,A,15,9,6,6,12,11,3,0,2,5,0,0
B1,17/02/2023,19:45,Mechelen,Genk,2,2,D,1,1,D,11,13,5,3,8,6,4,4,1,0,0,0
B1,12/02/2023,12:30,Genk,Antwerp,0,1,A,0,0,D,16,8,3,3,17,14,9,3,2,3,0,0
B1,12/02/2023,15:00,Anderlecht,St Truiden,3,1,H,0,0,D,24,3,9,2,3,11,4,2,1,1,0,0
B1,12/02/2023,17:30,Standard,Kortrijk,0,2,A,0,0,D,9,11,1,4,10,20,7,3,0,2,1,0
B1,12/02/2023,18:15,Waregem,Oostende,1,1,D,1,0,H,8,5,2,3,11,17,3,4,0,1,0,0
B1,11/02/2023,15:00,Westerlo,Gent,3,3,D,2,2,D,8,16,5,9,7,6,3,6,1,1,0,0
B1,11/02/2023,17:15,Charleroi,Seraing,3,0,H,1,0,H,11,2,4,1,8,13,10,2,1,0,0,0
B1,10/02/2023,19:00,Oud-Heverlee Leuven,Cercle Brugge,0,0,D,0,0,D,7,11,1,5,12,10,6,7,1,0,0,0
