Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,05/03/2023,12:00,St Mirren,Celtic,1,5,A,1,0,H,D Dickinson,1,16,1,8,14,7,0,6,1,0,1,30.12
SC0,04/03/2023,15:00,Hearts,St Johnstone,3,0,H,1,0,H,S McLean,12,15,7,5,7,8,8,7,0,0,0,30.12
SC0,04/03/2023,15:00,Livingston,Hibernian,1,4,A,1,2,A,C Graham,9,12,1,7,10,15,4,3,3,3,1,30.12
SC0,04/03/2023,15:00,Rangers,Kilmarnock,3,1,H,3,0,H,W Collum,21,3,8,2,19,13,7,4,1,2,0,30.12
SC0,04/03/2023,15:00,Ross County,Motherwell,0,2,A,0,0,D,D Robertson,17,13,6,3,14,10,9,4,0,2,1,30.12
SC0,04/03/2023,18:00,Dundee United,Aberdeen,1,3,A,0,0,D,J Beaton,24,9,6,4,10,5,10,5,2,3,0,30.12
SC0,25/02/2023,15:00,Aberdeen,Livingston,1,0,H,1,0,H,D Munro,12,6,2,1,11,11,8,8,0,3,0,30.12
SC0,25/02/2023,15:00,Kilmarnock,Motherwell,1,1,D,1,0,H,A Muir,8,13,3,7,17,15,4,6,3,3,0,30.12
SC0,25/02/2023,15:00,Ross County,Dundee United,4,0,H,2,0,H,S McLean,22,9,11,3,11,10,3,2,2,2,0,30.12
SC0,25/02/2023,15:00,St Johnstone,St Mirren,1,1,D,0,0,D,C Napier,7,21,2,5,8,8,5,2,1,0,1,30.12
SC0,19/02/2023,12:00,Motherwell,Hearts,2,0,H,1,0,H,D Robertson,13,13,3,3,14,8,5,9,1,1,0,30.12
SC0,18/02/2023,15:00,Celtic,Aberdeen,4,0,H,2,0,H,W Collum,20,5,10,0,13,6,8,0,0,0,0,30.12
SC0,18/02/2023,15:00,Dundee United,St Johnstone,1,2,A,0,1,A,K Clancy,19,9,4,5,7,12,11,6,2,2,0,30.12
SC0,18/02/2023,15:00,Hibernian,Kilmarnock,2,0,H,1,0,H,J Beaton,20,9,11,3,12,7,8,4,1,0,0,31.12
SC0,18/02/2023,15:00,Livingston,Rangers,0,3,A,0,1,A,D Dickinson,6,13,1,8,15,8,2,9,2,1,1,30.12
SC0,18/02/2023,15:00,St Mirren,Ross County,1,0,H,1,0,H,G Grainger,19,10,5,2,8,9,10,8,0,1,0,31.12
SC0,15/02/2023,19:45,Motherwell,St Mirren,2,1,H,2,1,H,J Beaton,7,10,4,4,7,20,3,2,2,4,0,30.12
SC0,05/02/2023,12:00,St Johnstone,Celtic,1,4,A,1,3,A,D Dickinson,6,12,2,4,5,11,3,4,2,2,1,30.12
SC0,04/02/2023,15:00,Aberdeen,Motherwell,3,1,H,1,0,H,K Clancy,12,4,7,1,9,18,9,2,4,3,0,30.12
SC0,04/02/2023,15:00,Hearts,Dundee United,3,1,H,0,1,A,N Walsh,19,10,7,2,13,11,10,3,3,2,1,31.12
SC0,04/02/2023,15:00,Livingston,Kilmarnock,3,1,H,3,0,H,C Steven,12,9,7,3,16,13,5,5,2,2,0,30.12
SC0,04/02/2023,15:00,Rangers,Ross County,2,1,H,1,0,H,E Anderson,26,10,7,3,8,9,4,6,4,2,0,30.12
SC0,04/02/2023,15:00,St Mirren,Hibernian,0,1,A,0,0,D,M MacDermid,8,9,3,3,13,6,5,4,1,2,0,30.12
SC0,01/02/2023,19:45,Aberdeen,St Mirren,1,3,A,0,0,D,G Irvine,6,22,2,6,11,11,2,11,4,2,1,30.12
SC0,01/02/2023,19:45,Celtic,Livingston,3,0,H,3,0,H,N Walsh,15,6,5,0,11,5,8,0,1,1,0,30.12
SC0,01/02/2023,19:45,Hearts,Rangers,0,3,A,0,2,A,J Beaton,6,20,2,9,7,11,1,7,3,3,0,30.12
SC0,01/02/2023,19:45,Kilmarnock,Dundee United,1,0,H,1,0,H,M MacDermid,26,7,5,3,9,8,7,2,1,3,0,30.12
